User_ID,Top_Recommendations
1,"['66d6efb2-732e-42a9-93e5-1f3fba9051c4', '6381ed60-66e6-4895-adee-08fcc6059409', '3f59e18f-c185-41f7-b110-811888a6e661', 'd52ea8c9-650e-4201-a83d-1aaf92a7a6c3', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004']"
2,"['3f59e18f-c185-41f7-b110-811888a6e661', '6381ed60-66e6-4895-adee-08fcc6059409', '66d6efb2-732e-42a9-93e5-1f3fba9051c4', 'dbdf463e-9551-4012-8b01-7f1317084d28', 'd52ea8c9-650e-4201-a83d-1aaf92a7a6c3']"
3,"['6381ed60-66e6-4895-adee-08fcc6059409', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004', 'dbdf463e-9551-4012-8b01-7f1317084d28', '3f59e18f-c185-41f7-b110-811888a6e661', 'd52ea8c9-650e-4201-a83d-1aaf92a7a6c3']"
4,"['bd1fc40e-5da6-4548-9931-ccd2dcf8a004', '6381ed60-66e6-4895-adee-08fcc6059409', 'cbf406f5-151d-4765-acda-c0b5d702896d', '7b60c6bc-412d-45db-9528-d6c9fe429f59', '3f59e18f-c185-41f7-b110-811888a6e661']"
5,"['7b60c6bc-412d-45db-9528-d6c9fe429f59', '6381ed60-66e6-4895-adee-08fcc6059409', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004', 'cbf406f5-151d-4765-acda-c0b5d702896d', '3f59e18f-c185-41f7-b110-811888a6e661']"
6,"['6381ed60-66e6-4895-adee-08fcc6059409', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004', '7b60c6bc-412d-45db-9528-d6c9fe429f59', 'cbf406f5-151d-4765-acda-c0b5d702896d', 'dbdf463e-9551-4012-8b01-7f1317084d28']"
7,"['d52ea8c9-650e-4201-a83d-1aaf92a7a6c3', '3f59e18f-c185-41f7-b110-811888a6e661', 'cbf406f5-151d-4765-acda-c0b5d702896d', 'dbdf463e-9551-4012-8b01-7f1317084d28', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004']"
8,"['6381ed60-66e6-4895-adee-08fcc6059409', 'bd1fc40e-5da6-4548-9931-ccd2dcf8a004', '7b60c6bc-412d-45db-9528-d6c9fe429f59', '3f59e18f-c185-41f7-b110-811888a6e661', 'cbf406f5-151d-4765-acda-c0b5d702896d']"
9,"['dbdf463e-9551-4012-8b01-7f1317084d28', 'd52ea8c9-650e-4201-a83d-1aaf92a7a6c3', '3f59e18f-c185-41f7-b110-811888a6e661', '66d6efb2-732e-42a9-93e5-1f3fba9051c4', '6381ed60-66e6-4895-adee-08fcc6059409']"
10,"['d52ea8c9-650e-4201-a83d-1aaf92a7a6c3', '3f59e18f-c185-41f7-b110-811888a6e661', 'dbdf463e-9551-4012-8b01-7f1317084d28', '6381ed60-66e6-4895-adee-08fcc6059409', 'cbf406f5-151d-4765-acda-c0b5d702896d']"
